,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
0,0.01881225134355867,-0.034180622851668535,-0.08070045326237735,0.010257070220116238,1,1,0.0,2.0,494.0,1.0
2,-0.15815550764970926,0.11361899164463184,0.07035437651297785,-0.16623457073816536,1,3,1.0,3.0,208.0,1.0
3,-0.01666624094648766,-0.005027271967011362,0.007815544066831657,-0.05353688346966583,2,1,2.0,0.0,347.0,1.0
4,-0.02319383745160938,-0.036308266871848405,0.03327727159782388,-0.020720032259531555,2,3,4.0,10.0,552.0,0.0
5,0.003854124358279733,-0.015226727441615245,-0.016584978405487512,-0.05798939969653791,3,2,6.0,7.0,294.0,0.0
6,-0.008071784961750579,0.003081200930976289,-0.0037673500858183395,0.008194518489578974,3,3,7.0,7.0,262.0,0.0
7,0.0010118153212845791,0.0016989770964804325,-0.020401834583018568,0.0041072021134439815,5,3,11.0,7.0,303.0,0.0
9,-0.012163640742002414,0.003584936699623252,0.0025829131235739545,0.0018242386078670934,6,2,12.0,3.0,428.0,0.0
10,0.02761136508483208,0.012253502187210358,0.010026742854203097,0.01975415110306965,7,3,16.0,0.0,560.0,0.0
11,-0.020822326700678195,-0.005533361861905634,-0.002549386400797983,-0.004951041000436066,12,1,26.0,7.0,414.0,1.0
12,-0.020601123395300146,-0.024469145546362283,0.005465241654469798,0.0032332997466090465,12,2,27.0,10.0,269.0,1.0
13,0.009964904748625304,-0.019800712138334745,-0.016868765195573315,0.02248800823687554,12,3,28.0,9.0,187.0,0.0
14,-0.019455842430473175,0.028374212299698765,0.026777910992193694,-0.11286423524731122,14,3,33.0,10.0,406.0,0.0
15,0.12371777862126461,0.01832379455143695,0.015677541196225688,0.006537408974368773,15,1,34.0,5.0,704.0,1.0
16,0.014650754795421144,-0.017408095492592167,0.008731937344984437,0.06375541197536085,17,1,40.0,6.0,652.0,1.0
17,0.10641338243534613,0.004658885308924758,-0.05196139398314329,0.048547498888176804,19,2,47.0,8.0,560.0,0.0
18,0.06390601215535714,-0.04196932048276387,0.06659090170816985,-0.026142180441809732,20,2,50.0,1.0,417.0,0.0
19,-0.00045890718372551336,0.039731008010397466,0.001985515465616466,0.017343068584199563,20,3,51.0,1.0,211.0,0.0
20,0.04184155543899635,0.10025118170668162,-0.07432919771288386,-0.023017871134374066,21,2,53.0,3.0,266.0,0.0
21,-0.028683560802461122,-0.04141170821547478,0.061357192661049234,0.039804039106562536,23,1,58.0,0.0,366.0,0.0
22,0.013333817377528498,-0.060892682369067294,-0.05088673630274816,-0.009468858133857816,23,3,60.0,4.0,700.0,0.0
23,0.009268222832831675,0.08743882677748199,0.1174906365331124,-0.11679005927934713,24,3,63.0,7.0,356.0,1.0
24,0.01185123089338723,0.007518241445548545,0.008511192195864672,-0.044270971871670034,25,1,64.0,7.0,435.0,0.0
