,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
0,-0.03183724151368159,-0.004492498756605218,-0.08107547623267623,-0.04951435704118808,1,1,0.0,2.0,494.0,1.0
2,0.012911763881973376,0.01079611216215587,-0.07454817008625189,-0.07581134564717028,1,3,1.0,3.0,208.0,1.0
3,0.00030877027111223204,-0.03226862786604359,-0.04398389436128133,0.008076366696477776,2,1,2.0,0.0,347.0,1.0
4,-0.015040484660652505,-0.011845244204547446,-0.02670744711626285,2.3770085818417447e-05,2,3,4.0,10.0,552.0,0.0
5,0.0010369806410478058,-0.04142244205556474,0.02088957844654664,-0.031952123650394834,3,2,6.0,7.0,294.0,0.0
6,-0.0013415307730561738,-0.008124810209275904,0.028620090606159693,-0.004543313659732307,3,3,7.0,7.0,262.0,0.0
7,0.003168928809021698,0.011419231892937427,0.006901345577753981,0.0027946661930412205,5,3,11.0,7.0,303.0,0.0
9,0.02511946577670461,-0.006363793234802225,-0.0007591359109081038,-0.015855572287972266,6,2,12.0,3.0,428.0,0.0
10,0.0006668005446146739,0.04412827623956904,0.0074910398024314526,-0.00727239494942756,7,3,16.0,0.0,560.0,0.0
11,-0.04277822045681184,-0.026695407655555788,-0.029951303824367132,-0.013403110470302224,12,1,26.0,7.0,414.0,1.0
12,0.03952654275474552,-0.04814369488136828,-0.006699525720068719,0.0019469153593365198,12,2,27.0,10.0,269.0,1.0
13,0.01142234226641082,0.030406336677331783,0.03520922697384663,0.02237417377350129,12,3,28.0,9.0,187.0,0.0
14,-0.010229520879958449,0.08394692013028823,0.06580238923575146,0.05033602313247114,14,3,33.0,10.0,406.0,0.0
15,-0.004154309453850587,-0.04698188525899315,0.01207860685210841,-0.000667692878241551,17,1,40.0,6.0,652.0,1.0
16,-0.04055219030936461,0.11823263189936335,-0.013441341467465267,-0.02695383279788167,19,2,47.0,8.0,560.0,0.0
17,-0.07003280296895785,-0.03436830017871617,0.1951792401120065,0.0068762386266183325,20,2,50.0,1.0,417.0,0.0
18,-0.007545899506017807,0.0361379566480721,-0.0116098012570868,0.05248292905824973,20,3,51.0,1.0,211.0,0.0
19,0.03488391773462596,0.06045764151697022,-0.15058919921047326,-0.006830024417203851,21,2,53.0,3.0,266.0,0.0
20,-0.08264656214848103,-0.07042127095489681,0.03259905818751136,0.1533826223303381,23,1,58.0,0.0,366.0,0.0
21,-0.0015565027886527355,-0.0715002901482776,0.027001956249107426,-0.0062011349348609695,23,3,60.0,4.0,700.0,0.0
22,0.009177626443949292,0.03073027390641658,-7.98077583876209e-05,-0.0213109968294825,25,1,64.0,7.0,435.0,0.0
24,-0.017598342118262594,-0.04778726380829005,0.016060210050850683,-0.04296326141450611,27,3,70.0,1.0,0.0,0.0
25,-0.02660801579554206,0.17218727504773754,0.17386005741653138,0.01777939709353327,28,1,71.0,7.0,424.0,0.0
26,0.001436916772505394,-0.021922207761125478,0.039300263014547615,-0.031090712555813978,28,2,72.0,5.0,305.0,0.0
27,0.05953619535913839,-0.06648833708707233,0.026278538590505617,0.058324107183716695,28,3,73.0,7.0,274.0,0.0
28,-0.012493244227549842,0.11114829354079574,-0.06777758245383182,-0.008503197667670374,29,1,74.0,7.0,510.0,1.0
29,0.04202546665625924,0.14118320478278037,-0.005401438158629822,0.036661448474510666,29,2,75.0,2.0,349.0,0.0
30,-0.03083445774600509,-0.02447057687412212,0.02593180168163988,-0.06210432289491047,29,3,76.0,6.0,303.0,0.0
31,0.10555026238580922,0.10167691070449378,-0.016361015057734022,-0.0863546280592773,30,1,77.0,0.0,280.0,0.0
32,0.09740701398878354,0.11279082286711588,-0.09531684090139778,-0.11326992524791123,31,1,80.0,6.0,275.0,0.0
33,0.0009570548282005449,-0.09751714398048292,0.03661713826628483,-0.03668904779741432,31,2,81.0,6.0,265.0,0.0
34,0.053709707766323084,-0.07581983144598624,0.03572352261051201,-0.0435877753752527,31,3,82.0,5.0,210.0,0.0
36,0.060338957948905605,0.07497358820982077,0.09268972522602222,0.04558668067074186,32,2,84.0,5.0,273.0,0.0
38,-0.012683859558353727,-0.05558448150701893,-0.09380745477904491,0.005134675806931443,33,2,86.0,6.0,0.0,0.0
39,-0.0035085448078837887,0.041359162639095566,-0.04571470410181462,-0.0008441330826140517,33,3,87.0,2.0,0.0,1.0
40,-0.004716732232361139,0.06460261970688233,-0.007884162777843364,0.016497308105053156,34,1,88.0,0.0,411.0,1.0
41,-0.023169597125576806,0.0702064283830447,0.0057360432821383835,0.013564203833755676,35,1,91.0,9.0,1002.0,1.0
42,-0.0028453522645694573,-0.03169131119649921,0.007984056385908059,-0.0014095638980736469,35,2,92.0,11.0,694.0,0.0
44,0.074317835192775,0.0727248031209452,0.10343322125099108,0.06534213282127448,36,1,93.0,4.0,406.0,1.0
45,0.0012957625105830825,-0.01824553266006772,-0.02246820297519128,-0.006984274232437702,36,2,94.0,5.0,328.0,0.0
46,0.009053295312130021,-0.022917472984863723,0.052138304972353125,0.02672600332157193,37,1,96.0,4.0,416.0,0.0
47,-0.02318031080427859,0.0020035159442442995,0.005595519143508525,-0.02235582683097299,37,2,97.0,2.0,358.0,0.0
48,0.005069368929014008,0.021523558252884854,-0.004711499933520763,-0.007293260165012757,37,3,98.0,2.0,329.0,0.0
49,-0.02220353696250039,-0.020815188949330612,-0.016273329816150716,-0.004093396339777487,38,1,99.0,0.0,360.0,1.0
50,0.005835375249706442,0.027470453253536857,0.0073409864450984874,0.020582630392916683,38,2,100.0,3.0,298.0,1.0
51,-0.00648890229915602,-0.0041078851817457,-0.005664868563897491,0.06060290758970193,38,3,101.0,7.0,240.0,0.0
53,0.0180768490162748,-0.02432786005722359,-0.05513437201637853,0.06462177224315413,40,2,104.0,8.0,290.0,1.0
54,0.019880430105775854,-0.1301183687629792,-0.002864695792966323,-0.01254119843463217,40,3,105.0,7.0,271.0,0.0
55,-0.06215867035152398,-0.0695539677367129,-0.043545207128673324,0.03563826288245338,41,1,106.0,0.0,478.0,0.0
56,0.02798805288455823,0.04965133614007463,0.11931969138192788,0.06766207584210138,41,3,107.0,3.0,258.0,0.0
57,0.019629440570795905,0.022801110070736687,0.013951305481897018,0.020854172624996718,42,1,108.0,4.0,491.0,0.0
59,0.005231239981903108,-0.0157833440649039,0.01321807176461234,0.004265994957635533,42,3,109.0,7.0,432.0,0.0
60,0.014897757299496531,0.009355203597828063,-0.014701209608566045,-0.022639800813399974,43,1,110.0,10.0,468.0,0.0
61,0.0011586774321755448,-0.014017299683886566,0.024229121261363496,0.00640561209323677,43,2,111.0,7.0,493.0,1.0
62,-0.03408108307007875,-0.02516372571014111,0.0310215892813898,-0.001460540277855181,43,3,112.0,7.0,248.0,0.0
63,0.005501296178445328,-0.038034436009059695,0.10677821146055347,-0.02635893677755364,45,1,115.0,3.0,402.0,0.0
