,Intercept_p,Electrode,p_value
merged_corr_df_.5s_epoch.csv_0.1_AF7,3.4477851443572433e-66,AF7,0.8954174342877995
merged_corr_df_.5s_epoch.csv_0.1_AF8,3.252373560501164e-65,AF8,0.24098493233500062
merged_corr_df_.5s_epoch.csv_0.1_TP9,3.321789679582013e-67,TP9,0.33298505928326794
merged_corr_df_.5s_epoch.csv_0.1_TP10,2.653140626210272e-67,TP10,0.4350774365699547
merged_corr_df_.5s_epoch.csv_0.2_AF7,6.838971070578026e-84,AF7,0.7610149820064195
merged_corr_df_.5s_epoch.csv_0.2_AF8,2.669379106849862e-84,AF8,0.7916772620535071
merged_corr_df_.5s_epoch.csv_0.2_TP9,1.426745635337113e-84,TP9,0.9837756519070003
merged_corr_df_.5s_epoch.csv_0.2_TP10,3.67606268345269e-83,TP10,0.05710929799974374
merged_corr_df_.5s_epoch.csv_0.30000000000000004_AF7,6.986183256973206e-89,AF7,0.5589900609172176
merged_corr_df_.5s_epoch.csv_0.30000000000000004_AF8,5.077899088253714e-89,AF8,0.9359130365367005
merged_corr_df_.5s_epoch.csv_0.30000000000000004_TP9,2.7026066208914404e-91,TP9,0.22964222187376016
merged_corr_df_.5s_epoch.csv_0.30000000000000004_TP10,1.8998753978086468e-90,TP10,0.008671584507110065
merged_corr_df_.5s_epoch.csv_0.4_AF7,1.8697549117599264e-90,AF7,0.28965065629037545
merged_corr_df_.5s_epoch.csv_0.4_AF8,2.0405166233055236e-91,AF8,0.8318127730192455
merged_corr_df_.5s_epoch.csv_0.4_TP9,1.750089610823839e-95,TP9,0.07166723418600322
merged_corr_df_.5s_epoch.csv_0.4_TP10,8.277467826265233e-94,TP10,0.0039735152931793544
merged_corr_df_.5s_epoch.csv_0.5_AF7,3.587876130801306e-90,AF7,0.24748788848680248
merged_corr_df_.5s_epoch.csv_0.5_AF8,2.990329152413155e-91,AF8,0.8615328711522371
merged_corr_df_.5s_epoch.csv_0.5_TP9,5.526724999770575e-94,TP9,0.17790269691513538
merged_corr_df_.5s_epoch.csv_0.5_TP10,8.216209271763455e-94,TP10,0.0028669940514783132
merged_corr_df_.5s_epoch.csv_0.6000000000000001_AF7,7.410653867664719e-91,AF7,0.18205126704360242
merged_corr_df_.5s_epoch.csv_0.6000000000000001_AF8,2.153843790787867e-92,AF8,0.46316480868390764
merged_corr_df_.5s_epoch.csv_0.6000000000000001_TP9,5.793805633532809e-95,TP9,0.16221720515397187
merged_corr_df_.5s_epoch.csv_0.6000000000000001_TP10,1.990739325685836e-95,TP10,0.011980561583758145
merged_corr_df_.5s_epoch.csv_0.7000000000000001_AF7,7.410653867664719e-91,AF7,0.18205126704360242
merged_corr_df_.5s_epoch.csv_0.7000000000000001_AF8,2.153843790787867e-92,AF8,0.46316480868390764
merged_corr_df_.5s_epoch.csv_0.7000000000000001_TP9,5.793805633532809e-95,TP9,0.16221720515397187
merged_corr_df_.5s_epoch.csv_0.7000000000000001_TP10,1.990739325685836e-95,TP10,0.011980561583758145
merged_corr_df_.5s_epoch.csv_0.8_AF7,7.410653867664719e-91,AF7,0.18205126704360242
merged_corr_df_.5s_epoch.csv_0.8_AF8,2.153843790787867e-92,AF8,0.46316480868390764
merged_corr_df_.5s_epoch.csv_0.8_TP9,5.793805633532809e-95,TP9,0.16221720515397187
merged_corr_df_.5s_epoch.csv_0.8_TP10,1.990739325685836e-95,TP10,0.011980561583758145
merged_corr_df_.5s_epoch.csv_0.9_AF7,7.410653867664719e-91,AF7,0.18205126704360242
merged_corr_df_.5s_epoch.csv_0.9_AF8,2.153843790787867e-92,AF8,0.46316480868390764
merged_corr_df_.5s_epoch.csv_0.9_TP9,5.793805633532809e-95,TP9,0.16221720515397187
merged_corr_df_.5s_epoch.csv_0.9_TP10,1.990739325685836e-95,TP10,0.011980561583758145
merged_corr_df_.5s_epoch.csv_1.0_AF7,7.410653867664719e-91,AF7,0.18205126704360242
merged_corr_df_.5s_epoch.csv_1.0_AF8,2.153843790787867e-92,AF8,0.46316480868390764
merged_corr_df_.5s_epoch.csv_1.0_TP9,5.793805633532809e-95,TP9,0.16221720515397187
merged_corr_df_.5s_epoch.csv_1.0_TP10,1.990739325685836e-95,TP10,0.011980561583758145
merged_corr_df_1s_epoch.csv_0.1_AF7,6.40769621827178e-63,AF7,0.9664619748393346
merged_corr_df_1s_epoch.csv_0.1_AF8,4.244875044140065e-63,AF8,0.08317346767372356
merged_corr_df_1s_epoch.csv_0.1_TP9,1.3043356916998595e-62,TP9,0.3238003650397824
merged_corr_df_1s_epoch.csv_0.1_TP10,8.458548408206815e-63,TP10,0.47508795350245614
merged_corr_df_1s_epoch.csv_0.2_AF7,1.2679496318000405e-86,AF7,0.0670965617254687
merged_corr_df_1s_epoch.csv_0.2_AF8,2.8680174950425986e-86,AF8,0.8623309337957563
merged_corr_df_1s_epoch.csv_0.2_TP9,5.669626726259297e-86,TP9,0.9151863227362563
merged_corr_df_1s_epoch.csv_0.2_TP10,2.7937454451032514e-83,TP10,0.2692721168165102
merged_corr_df_1s_epoch.csv_0.30000000000000004_AF7,2.908287951992172e-90,AF7,0.02252941995410555
merged_corr_df_1s_epoch.csv_0.30000000000000004_AF8,4.810148879394858e-88,AF8,0.6991015249879234
merged_corr_df_1s_epoch.csv_0.30000000000000004_TP9,1.240061934397981e-87,TP9,0.8666870677534526
merged_corr_df_1s_epoch.csv_0.30000000000000004_TP10,4.141902827626049e-87,TP10,0.8725899678942356
merged_corr_df_1s_epoch.csv_0.4_AF7,5.0910329802612084e-93,AF7,0.015599608653826645
merged_corr_df_1s_epoch.csv_0.4_AF8,2.4588784862630983e-90,AF8,0.8254644689425766
merged_corr_df_1s_epoch.csv_0.4_TP9,2.5372963507943876e-90,TP9,0.7538739890629707
merged_corr_df_1s_epoch.csv_0.4_TP10,9.659247902371208e-90,TP10,0.9261174771850349
merged_corr_df_1s_epoch.csv_0.5_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_0.5_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_0.5_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_0.5_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1s_epoch.csv_0.6000000000000001_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_0.6000000000000001_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_0.6000000000000001_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_0.6000000000000001_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1s_epoch.csv_0.7000000000000001_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_0.7000000000000001_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_0.7000000000000001_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_0.7000000000000001_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1s_epoch.csv_0.8_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_0.8_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_0.8_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_0.8_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1s_epoch.csv_0.9_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_0.9_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_0.9_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_0.9_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1s_epoch.csv_1.0_AF7,3.2387712386593716e-94,AF7,0.005213323981598073
merged_corr_df_1s_epoch.csv_1.0_AF8,8.861686323016313e-90,AF8,0.6223517302259587
merged_corr_df_1s_epoch.csv_1.0_TP9,3.0485595423977386e-89,TP9,0.5035478533923109
merged_corr_df_1s_epoch.csv_1.0_TP10,5.748632406507867e-90,TP10,0.4025449275963212
merged_corr_df_1.5s_epoch.csv_0.1_AF7,8.971243249755155e-69,AF7,0.4986986981101281
merged_corr_df_1.5s_epoch.csv_0.1_AF8,1.8877809941237083e-69,AF8,0.3327882811283205
merged_corr_df_1.5s_epoch.csv_0.1_TP9,6.271578832151239e-69,TP9,0.6567793918794441
merged_corr_df_1.5s_epoch.csv_0.1_TP10,3.0868970746725372e-68,TP10,0.8640725158745557
merged_corr_df_1.5s_epoch.csv_0.2_AF7,1.5991818211149935e-82,AF7,0.09344750067856195
merged_corr_df_1.5s_epoch.csv_0.2_AF8,3.021699224179853e-81,AF8,0.850566522178321
merged_corr_df_1.5s_epoch.csv_0.2_TP9,1.7421154561204986e-81,TP9,0.5668208542610256
merged_corr_df_1.5s_epoch.csv_0.2_TP10,2.8209814035596947e-81,TP10,0.8653682644608791
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_AF7,1.1241803312569479e-88,AF7,0.20287132659446372
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_AF8,1.2084269295483235e-87,AF8,0.9356673468217155
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_TP9,9.486074285224264e-88,TP9,0.8007503063897831
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_TP10,1.5953060755473576e-87,TP10,0.6932691319637354
merged_corr_df_1.5s_epoch.csv_0.4_AF7,4.243488227514027e-90,AF7,0.6212538467372748
merged_corr_df_1.5s_epoch.csv_0.4_AF8,2.6348089766531834e-89,AF8,0.6545399327501158
merged_corr_df_1.5s_epoch.csv_0.4_TP9,1.179427461403501e-89,TP9,0.6686051925181971
merged_corr_df_1.5s_epoch.csv_0.4_TP10,1.5230212590602799e-89,TP10,0.922090420937248
merged_corr_df_1.5s_epoch.csv_0.5_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_0.5_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_0.5_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_0.5_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_1.5s_epoch.csv_0.7000000000000001_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_0.7000000000000001_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_0.7000000000000001_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_0.7000000000000001_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_1.5s_epoch.csv_0.8_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_0.8_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_0.8_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_0.8_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_1.5s_epoch.csv_0.9_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_0.9_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_0.9_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_0.9_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_1.5s_epoch.csv_1.0_AF7,9.475784792789229e-92,AF7,0.7203377416055662
merged_corr_df_1.5s_epoch.csv_1.0_AF8,1.540807251723177e-91,AF8,0.6385048374326066
merged_corr_df_1.5s_epoch.csv_1.0_TP9,1.6465015105781755e-91,TP9,0.623041142000827
merged_corr_df_1.5s_epoch.csv_1.0_TP10,6.202793177332981e-91,TP10,0.8372863074726749
merged_corr_df_2s_epoch.csv_0.1_AF7,2.2410515533127603e-69,AF7,0.9205325736762028
merged_corr_df_2s_epoch.csv_0.1_AF8,1.8623675472671984e-69,AF8,0.9620729156326787
merged_corr_df_2s_epoch.csv_0.1_TP9,1.634573785110796e-69,TP9,0.9497751164823531
merged_corr_df_2s_epoch.csv_0.1_TP10,1.189380662087168e-69,TP10,0.9617253463007981
merged_corr_df_2s_epoch.csv_0.2_AF7,5.218286113033556e-86,AF7,0.6091442872060246
merged_corr_df_2s_epoch.csv_0.2_AF8,1.045067671526407e-84,AF8,0.3108999157959156
merged_corr_df_2s_epoch.csv_0.2_TP9,4.019122647325538e-86,TP9,0.8143482288341535
merged_corr_df_2s_epoch.csv_0.2_TP10,4.885242088972337e-88,TP10,0.13055016013522086
merged_corr_df_2s_epoch.csv_0.30000000000000004_AF7,6.380527517731254e-89,AF7,0.5006597564248968
merged_corr_df_2s_epoch.csv_0.30000000000000004_AF8,5.7572608145817325e-89,AF8,0.3393581113463777
merged_corr_df_2s_epoch.csv_0.30000000000000004_TP9,2.127346433669216e-89,TP9,0.531433882299196
merged_corr_df_2s_epoch.csv_0.30000000000000004_TP10,9.391570933694286e-91,TP10,0.23858499992426585
merged_corr_df_2s_epoch.csv_0.4_AF7,2.4128356526617976e-89,AF7,0.45606816665458394
merged_corr_df_2s_epoch.csv_0.4_AF8,3.1242309320611387e-89,AF8,0.3266175153896167
merged_corr_df_2s_epoch.csv_0.4_TP9,1.1533272792225756e-89,TP9,0.463596853225159
merged_corr_df_2s_epoch.csv_0.4_TP10,6.928918285816162e-90,TP10,0.45443106417803836
merged_corr_df_2s_epoch.csv_0.5_AF7,6.805332199561513e-90,AF7,0.6273385504361955
merged_corr_df_2s_epoch.csv_0.5_AF8,5.479810499645479e-90,AF8,0.3263796524407172
merged_corr_df_2s_epoch.csv_0.5_TP9,1.4240356846793648e-90,TP9,0.4362905668274546
merged_corr_df_2s_epoch.csv_0.5_TP10,1.05661363906902e-90,TP10,0.4206323681319223
merged_corr_df_2s_epoch.csv_0.6000000000000001_AF7,6.805332199561513e-90,AF7,0.6273385504361955
merged_corr_df_2s_epoch.csv_0.6000000000000001_AF8,5.479810499645479e-90,AF8,0.3263796524407172
merged_corr_df_2s_epoch.csv_0.6000000000000001_TP9,1.4240356846793648e-90,TP9,0.4362905668274546
merged_corr_df_2s_epoch.csv_0.6000000000000001_TP10,1.05661363906902e-90,TP10,0.4206323681319223
merged_corr_df_2s_epoch.csv_0.7000000000000001_AF7,6.805332199561513e-90,AF7,0.6273385504361955
merged_corr_df_2s_epoch.csv_0.7000000000000001_AF8,5.479810499645479e-90,AF8,0.3263796524407172
merged_corr_df_2s_epoch.csv_0.7000000000000001_TP9,1.4240356846793648e-90,TP9,0.4362905668274546
merged_corr_df_2s_epoch.csv_0.7000000000000001_TP10,1.05661363906902e-90,TP10,0.4206323681319223
merged_corr_df_2s_epoch.csv_0.8_AF7,6.805332199561513e-90,AF7,0.6273385504361955
