,Intercept,Electrode,Estimate
merged_corr_df_.5s_epoch.csv_0.1_AF7,6.029717393211837,AF7,-0.930523279792746
merged_corr_df_.5s_epoch.csv_0.1_AF8,6.012453642588048,AF8,-7.47913882759424
merged_corr_df_.5s_epoch.csv_0.1_TP9,6.067900084102113,TP9,-8.124809296355647
merged_corr_df_.5s_epoch.csv_0.1_TP10,6.043231304587012,TP10,-5.528903943649341
merged_corr_df_.5s_epoch.csv_0.2_AF7,5.831747263285061,AF7,-1.0138313297023078
merged_corr_df_.5s_epoch.csv_0.2_AF8,5.833164274079309,AF8,0.970296383762477
merged_corr_df_.5s_epoch.csv_0.2_TP9,5.838336766517782,TP9,0.11086435868038198
merged_corr_df_.5s_epoch.csv_0.2_TP10,5.835664133357785,TP10,-9.255982228103948
merged_corr_df_.5s_epoch.csv_0.30000000000000004_AF7,5.806400038596451,AF7,-1.6288811049039087
merged_corr_df_.5s_epoch.csv_0.30000000000000004_AF8,5.814656020068721,AF8,-0.23917033293678122
merged_corr_df_.5s_epoch.csv_0.30000000000000004_TP9,5.836892100902824,TP9,-4.77965565761846
merged_corr_df_.5s_epoch.csv_0.30000000000000004_TP10,5.858481154428657,TP10,-9.813093988286843
merged_corr_df_.5s_epoch.csv_0.4_AF7,5.838171063786845,AF7,-2.6536326895984534
merged_corr_df_.5s_epoch.csv_0.4_AF8,5.858495847700465,AF8,0.6224225464588795
merged_corr_df_.5s_epoch.csv_0.4_TP9,5.890440529116944,TP9,-6.227755652565949
merged_corr_df_.5s_epoch.csv_0.4_TP10,5.916434474381003,TP10,-10.298834964731007
merged_corr_df_.5s_epoch.csv_0.5_AF7,5.828576044491277,AF7,-2.577300117631229
merged_corr_df_.5s_epoch.csv_0.5_AF8,5.862808772063902,AF8,-0.4411616934442814
merged_corr_df_.5s_epoch.csv_0.5_TP9,5.868031425517097,TP9,-4.235806947709048
merged_corr_df_.5s_epoch.csv_0.5_TP10,5.913480006255756,TP10,-10.549626078474915
merged_corr_df_.5s_epoch.csv_0.6000000000000001_AF7,5.8109902474523025,AF7,-2.9444225970772773
merged_corr_df_.5s_epoch.csv_0.6000000000000001_AF8,5.867714539162478,AF8,-1.6466011063689052
merged_corr_df_.5s_epoch.csv_0.6000000000000001_TP9,5.853087527674827,TP9,-4.433137309128168
merged_corr_df_.5s_epoch.csv_0.6000000000000001_TP10,5.881347087913919,TP10,-8.887442592253146
merged_corr_df_.5s_epoch.csv_0.7000000000000001_AF7,5.8109902474523025,AF7,-2.9444225970772773
merged_corr_df_.5s_epoch.csv_0.7000000000000001_AF8,5.867714539162478,AF8,-1.6466011063689052
merged_corr_df_.5s_epoch.csv_0.7000000000000001_TP9,5.853087527674827,TP9,-4.433137309128168
merged_corr_df_.5s_epoch.csv_0.7000000000000001_TP10,5.881347087913919,TP10,-8.887442592253146
merged_corr_df_.5s_epoch.csv_0.8_AF7,5.8109902474523025,AF7,-2.9444225970772773
merged_corr_df_.5s_epoch.csv_0.8_AF8,5.867714539162478,AF8,-1.6466011063689052
merged_corr_df_.5s_epoch.csv_0.8_TP9,5.853087527674827,TP9,-4.433137309128168
merged_corr_df_.5s_epoch.csv_0.8_TP10,5.881347087913919,TP10,-8.887442592253146
merged_corr_df_.5s_epoch.csv_0.9_AF7,5.8109902474523025,AF7,-2.9444225970772773
merged_corr_df_.5s_epoch.csv_0.9_AF8,5.867714539162478,AF8,-1.6466011063689052
merged_corr_df_.5s_epoch.csv_0.9_TP9,5.853087527674827,TP9,-4.433137309128168
merged_corr_df_.5s_epoch.csv_0.9_TP10,5.881347087913919,TP10,-8.887442592253146
merged_corr_df_.5s_epoch.csv_1.0_AF7,5.8109902474523025,AF7,-2.9444225970772773
merged_corr_df_.5s_epoch.csv_1.0_AF8,5.867714539162478,AF8,-1.6466011063689052
merged_corr_df_.5s_epoch.csv_1.0_TP9,5.853087527674827,TP9,-4.433137309128168
merged_corr_df_.5s_epoch.csv_1.0_TP10,5.881347087913919,TP10,-8.887442592253146
merged_corr_df_1s_epoch.csv_0.1_AF7,5.917934218181585,AF7,0.24654789892687184
merged_corr_df_1s_epoch.csv_0.1_AF8,5.940449007534103,AF8,-9.720250271592333
merged_corr_df_1s_epoch.csv_0.1_TP9,5.935129847307835,TP9,7.409037306421647
merged_corr_df_1s_epoch.csv_0.1_TP10,5.925029179517403,TP10,-6.547179847332095
merged_corr_df_1s_epoch.csv_0.2_AF7,5.8890238838469955,AF7,5.521031555890002
merged_corr_df_1s_epoch.csv_0.2_AF8,5.876321240656504,AF8,-0.5806966259475441
merged_corr_df_1s_epoch.csv_0.2_TP9,5.876118596865677,TP9,-0.49134147410540113
merged_corr_df_1s_epoch.csv_0.2_TP10,5.846439597827057,TP10,-5.540252769562474
merged_corr_df_1s_epoch.csv_0.30000000000000004_AF7,5.892088719775245,AF7,5.665624378448259
merged_corr_df_1s_epoch.csv_0.30000000000000004_AF8,5.878801559027915,AF8,-1.18114513049683
merged_corr_df_1s_epoch.csv_0.30000000000000004_TP9,5.8802569163963865,TP9,-0.6674605217668008
merged_corr_df_1s_epoch.csv_0.30000000000000004_TP10,5.882244877791773,TP10,0.6584464670601841
merged_corr_df_1s_epoch.csv_0.4_AF7,5.894039124749576,AF7,5.505026241819124
merged_corr_df_1s_epoch.csv_0.4_AF8,5.866473741510247,AF8,-0.5935042970895276
merged_corr_df_1s_epoch.csv_0.4_TP9,5.869647657510108,TP9,-1.210952658654003
merged_corr_df_1s_epoch.csv_0.4_TP10,5.867635202472314,TP10,0.36785180708452864
merged_corr_df_1s_epoch.csv_0.5_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_0.5_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_0.5_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_0.5_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1s_epoch.csv_0.6000000000000001_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_0.6000000000000001_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_0.6000000000000001_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_0.6000000000000001_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1s_epoch.csv_0.7000000000000001_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_0.7000000000000001_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_0.7000000000000001_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_0.7000000000000001_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1s_epoch.csv_0.8_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_0.8_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_0.8_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_0.8_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1s_epoch.csv_0.9_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_0.9_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_0.9_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_0.9_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1s_epoch.csv_1.0_AF7,5.892209549038193,AF7,5.723686836467406
merged_corr_df_1s_epoch.csv_1.0_AF8,5.850938287481706,AF8,1.133892105782347
merged_corr_df_1s_epoch.csv_1.0_TP9,5.848767134529072,TP9,1.7957721903467578
merged_corr_df_1s_epoch.csv_1.0_TP10,5.864657910908705,TP10,1.9778141858071718
merged_corr_df_1.5s_epoch.csv_0.1_AF7,5.944742969950107,AF7,4.367178786550065
merged_corr_df_1.5s_epoch.csv_0.1_AF8,5.975509671752201,AF8,6.389787638602812
merged_corr_df_1.5s_epoch.csv_0.1_TP9,5.955917722674108,TP9,3.920808806265874
merged_corr_df_1.5s_epoch.csv_0.1_TP10,5.960148129870238,TP10,-1.7206439576496717
merged_corr_df_1.5s_epoch.csv_0.2_AF7,5.749012815875839,AF7,5.984109644710611
merged_corr_df_1.5s_epoch.csv_0.2_AF8,5.728895335255898,AF8,-0.7185617095590469
merged_corr_df_1.5s_epoch.csv_0.2_TP9,5.716813313531268,TP9,3.4583091015508964
merged_corr_df_1.5s_epoch.csv_0.2_TP10,5.725726308999125,TP10,-0.8819119814739748
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_AF7,5.8493686693991584,AF7,3.8123647396897558
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_AF8,5.828393069306986,AF8,0.2731403727164007
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_TP9,5.825132895248706,TP9,1.410321966788532
merged_corr_df_1.5s_epoch.csv_0.30000000000000004_TP10,5.82409904985508,TP10,-1.9517361435158904
merged_corr_df_1.5s_epoch.csv_0.4_AF7,5.849752818776011,AF7,1.2815351282889131
merged_corr_df_1.5s_epoch.csv_0.4_AF8,5.835257487888746,AF8,1.4354032354528088
merged_corr_df_1.5s_epoch.csv_0.4_TP9,5.837744039019053,TP9,2.3673819788900468
merged_corr_df_1.5s_epoch.csv_0.4_TP10,5.844058743837172,TP10,-0.46695754443591114
merged_corr_df_1.5s_epoch.csv_0.5_AF7,5.829776597736737,AF7,0.79789986201182
merged_corr_df_1.5s_epoch.csv_0.5_AF8,5.820627230746683,AF8,1.1961989832627364
merged_corr_df_1.5s_epoch.csv_0.5_TP9,5.821050243324168,TP9,2.616201320625499
merged_corr_df_1.5s_epoch.csv_0.5_TP10,5.831128788191846,TP10,0.8097127062647204
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_AF7,5.829776597736737,AF7,0.79789986201182
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_AF8,5.820627230746683,AF8,1.1961989832627364
merged_corr_df_1.5s_epoch.csv_0.6000000000000001_TP9,5.821050243324168,TP9,2.616201320625499
