,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.0056891226067249685,0.0009978715796326153,-0.07035755717893452,-0.0016509150393340375,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,-0.021091014364927888,0.3969754634890854,0.24524052306541252,-0.20778044888274863,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,-0.012815872873394167,-0.012247084321886334,-0.07851207263138989,-0.040850083642123496,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,-0.010079877698674498,0.02701481230667457,0.13930626691223796,-0.03106396298477819,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,-0.0024130168584686968,0.004221769284527036,0.05845895979140985,-0.007447991224947641,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
17,-0.020149998236210387,-0.014884146264139612,0.06391103507308574,0.00850684909659878,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
21,-0.006495591713321251,0.037958993071016064,0.0012177207968668024,0.02972896860630891,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
24,-0.042380257926330926,0.03190516182158146,-0.08062193610025095,-0.12127670760977882,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
28,-0.0066093958387688405,0.029770922077895338,0.028505188817307382,0.049088994546274245,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
29,-0.020471395521703985,-0.0024288492948075138,-0.007340933434003929,-0.03387384133474962,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
30,0.0016994214792892708,0.055551634394646394,-0.030638354644835483,-0.04245113145956571,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
31,-0.013826769316162123,-0.06669183599688415,0.034016089887439684,-0.02221694181817892,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
35,0.008070131799042805,0.14472142093840895,0.002091128517924555,-0.046916453005158294,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
36,-0.006123620806741953,0.025361711898676184,0.028912637100811402,0.03250949711657865,31,2,6.0,265.0,0.0,2.6,3.0,-0.408248290463863,-0.675724628517346
39,0.07906329911912395,-0.04615140339402269,0.03685634465109141,0.19420785920315176,32,2,5.0,273.0,0.0,3.2,4.0,-0.25,-0.600245047998781
42,0.06788331559431691,0.1233064198263451,0.10733293600314998,0.0764333272333801,33,3,2.0,0.0,1.0,4.2,4.166666666666667,0.534522483824849,0.774596669241483
