,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.01881225134355867,-0.034180622851668535,-0.08070045326237735,0.010257070220116238,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,-0.15815550764970926,0.11361899164463184,0.07035437651297785,-0.16623457073816536,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,0.003854124358279733,-0.015226727441615245,-0.016584978405487512,-0.05798939969653791,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,-0.008071784961750579,0.003081200930976289,-0.0037673500858183395,0.008194518489578974,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,0.02761136508483208,0.012253502187210358,0.010026742854203097,0.01975415110306965,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
16,0.014650754795421144,-0.017408095492592167,0.008731937344984437,0.06375541197536085,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
20,0.04184155543899635,0.10025118170668162,-0.07432919771288386,-0.023017871134374066,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
23,0.009268222832831675,0.08743882677748199,0.1174906365331124,-0.11679005927934713,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
27,-0.02561165275968072,0.17885505585556308,0.15406608550768677,-0.03318214132323181,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
28,-0.07727088825848706,0.15359971107215903,0.18729209443351555,-0.01426121771135645,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
29,0.07497282542243319,0.022253819702032458,-0.0497437362230243,0.05843757559649902,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
30,0.029126138370168104,0.1255654228890041,-0.1076261622246705,-0.004924166050467636,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
34,0.06957708619660413,0.39457742572483356,0.25628486170541437,-0.15973021664253942,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
