,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
0,0.06114551028736998,0.0019427550197652754,-0.06288145528747832,0.08649911924122938,1,1,2.0,494.0,1.0,2.2,3.25,0.157242725508288,-0.0877058019307029
2,-0.031542438837387166,0.04054613179188049,-0.15051992268121375,-0.08865123568707453,1,3,3.0,208.0,1.0,2.6,3.4166666666666665,-0.594942206400108,0.282038037408883
5,0.020207547316579397,0.13772965255074604,0.010793684670225215,-0.07678527669715701,3,2,7.0,294.0,0.0,2.6,4.0,0.583333333333333,0.316227766016838
6,-0.007536418730898053,0.0011345550687826963,0.0032074833165938767,0.0046774090621682154,3,3,7.0,262.0,0.0,3.2,4.0,0.589767824619589,0.8
10,0.01536482855081931,0.02995139141874315,0.02855177914893539,0.017113572364038102,7,3,0.0,560.0,0.0,3.4,3.6666666666666665,0.25,0.553911709406997
16,-0.11441497007887527,0.11909206000999172,-0.41673240710140597,0.3770055378028535,17,1,6.0,652.0,1.0,3.5,3.75,0.0,0.956182887467515
20,0.012037636173698206,0.005898451429221463,0.02719993053584066,0.04836284154539282,21,2,3.0,266.0,0.0,3.8,3.9166666666666665,0.0,0.907959384500452
23,0.07535193923526033,-0.08382535481678169,0.18910523002498988,-0.1050831983086548,24,3,7.0,356.0,1.0,2.7,3.25,0.666666666666667,0.117647058823529
27,-0.03231822178553498,0.04262930252788533,0.07180266179762827,-0.007451127039070426,28,1,7.0,424.0,0.0,3.2,3.4166666666666665,-0.395284707521047,0.682288239221013
28,0.013300256469579408,0.03674923752199754,0.08589061487293152,-0.001369491965692824,28,2,5.0,305.0,0.0,3.4,3.8333333333333335,0.166666666666667,0.530330085889911
29,0.13774731183453898,0.16551992854412131,0.09504950184825366,-0.3035900093844651,28,3,7.0,274.0,0.0,3.6,4.166666666666667,0.102062072615966,-0.317073170731707
30,0.06110130231504195,0.06236269609479652,0.012680343930668693,0.02060352844570845,29,1,7.0,510.0,1.0,4.2,4.166666666666667,0.534522483824849,0.75
34,-0.028568314657596842,0.14990796446457863,0.12628393112686503,-0.021313565894864186,31,1,6.0,275.0,0.0,1.8,3.6666666666666665,0.763762615825973,0.0
35,-0.010394346600676762,-0.02689959231760102,0.01477540809437034,-0.050105997879662,31,2,6.0,265.0,0.0,2.6,3.0,-0.408248290463863,-0.675724628517346
38,0.0028234021128975212,-0.041277754673765536,0.12109535425854757,-0.02006057784595464,32,2,5.0,273.0,0.0,3.2,4.0,-0.25,-0.600245047998781
41,0.030713847907252095,-0.004134243329398407,0.0017327709027976698,-0.016058023823087294,33,3,2.0,0.0,1.0,4.2,4.166666666666667,0.534522483824849,0.774596669241483
42,-0.0023920945840514673,0.10895655066188288,0.036938934380697196,-0.011540827248153305,34,1,0.0,411.0,1.0,3.3,3.8333333333333335,-0.219264504826757,0.176776695296637
43,0.009262454455756849,-0.043957455159585705,0.0006048405299427481,-0.024941008086775886,35,1,9.0,1002.0,1.0,2.9,3.4545454545454546,-0.272165526975909,-0.469668218313862
44,-0.01480444235297528,0.1534036736001388,0.11443281832440584,-0.05954943316993688,35,2,11.0,694.0,0.0,2.9,3.6666666666666665,0.166666666666667,0.730798148647035
46,0.06408428058621807,0.0874614194461185,0.06779165426794774,0.03557169413336384,36,1,4.0,406.0,1.0,1.7,2.6666666666666665,0.0,0.647058823529412
47,-0.005137356265434407,-0.01569763695124726,-0.0274022759060121,0.046523995084040516,36,2,5.0,328.0,0.0,2.0,2.9166666666666665,-0.5,0.108465228909328
48,0.025592868303903265,-0.013533243233576697,-0.003963118238418919,-0.057050836734353697,37,1,4.0,416.0,0.0,3.6,4.083333333333333,0.845154254728516,0.787838597158335
49,0.02481688241030627,0.013468935822656306,0.022091264040684695,-0.0072723217347047155,37,2,2.0,358.0,0.0,3.5,3.9166666666666665,0.25,0.753410574956818
50,-0.02263140001279123,-0.001868498073745611,0.011976538564612692,-0.06951525834652544,37,3,2.0,329.0,0.0,3.3,3.9166666666666665,-0.218217890235992,0.977802414077409
51,0.04299208288923827,0.018236825602573704,0.015114025245307127,0.12383194579203831,38,1,0.0,360.0,1.0,3.3333333333333335,3.5,-0.707106781186547,0.5
52,-0.02897421175921274,-0.0881433035856544,-0.11829947333594895,0.023536159350780454,38,2,3.0,298.0,1.0,3.3,3.1818181818181817,0.666666666666667,0.0
