subj,ses,affecttrust_corr,cognitivetrust_corr
1,1,0.157242725508288,-0.0877058019307029
1,2,-0.657411243046284,0.525150493181643
1,3,-0.594942206400108,0.282038037408883
3,1,0.102062072615966,0.811502671200689
3,2,0.583333333333333,0.316227766016838
3,3,0.589767824619589,0.8
4,1,-0.612372435695795,0.516514916340446
4,2,NaN,NaN
4,3,NaN,NaN
7,1,NaN,-0.25
7,2,-0.801783725737273,0
7,3,0.25,0.553911709406997
8,1,NaN,0.524672182297103
8,2,NaN,0.947049680271894
8,3,NaN,0.968329663731489
9,1,0.102062072615966,0.57849240733698
9,2,0.25,0.793884186037445
9,3,-0.612372435695795,0.49408695167959
14,1,-0.504184173365516,-0.58131835897618
14,2,-0.645497224367903,-0.547722557505166
14,3,NaN,-0.462910049886276
15,1,NaN,-0.171498585142509
15,2,NaN,-0.108465228909328
15,3,NaN,NaN
17,1,0,0.956182887467515
17,2,NaN,0.685994340570035
17,3,-0.218217890235992,0.948683298050514
19,1,NaN,-0.349215147884789
19,2,NaN,NaN
19,3,NaN,NaN
20,1,0.25,-0.688247201611685
20,2,NaN,0
20,3,NaN,-0.0276394996411391
21,1,0,0.943879807448539
21,2,0,0.907959384500452
21,3,0.25,0.8
22,1,0,0.080582296402538
22,2,-0.763762615825973,-0.101929438287525
22,3,-0.210042012604202,1
23,1,NaN,0.269679944985297
23,2,0.25,0.492518281311204
23,3,-0.612372435695795,NaN
24,1,0.600099198148979,NaN
24,2,0.840168050416806,0.75
24,3,0.666666666666667,0.117647058823529
26,1,-0.157242725508288,0.316227766016838
26,2,-0.320256307610174,0.87831006565368
26,3,-0.875,0.943879807448539
27,1,-0.25,0.943879807448539
27,2,NaN,-0.2
27,3,NaN,1
28,1,-0.395284707521047,0.682288239221013
28,2,0.166666666666667,0.530330085889911
28,3,0.102062072615966,-0.317073170731707
29,1,0.534522483824849,0.75
29,2,NaN,0.216930457818656
29,3,NaN,0
31,1,0.763762615825973,0
31,2,-0.408248290463863,-0.675724628517346
31,3,NaN,-0.447213595499958
32,1,-0.790569415042095,-0.644658371220304
32,2,-0.25,-0.600245047998781
32,3,NaN,NaN
33,1,0.408248290463863,0.64450338663549
33,2,NaN,0.857492925712544
33,3,0.534522483824849,0.774596669241483
34,1,-0.219264504826757,0.176776695296637
34,2,-0.196116135138184,0.866400225443963
34,3,NaN,0.56980288229819
35,1,-0.272165526975909,-0.469668218313862
35,2,0.166666666666667,0.730798148647035
35,3,-1,0.701646415445623
36,1,0,0.647058823529412
36,2,-0.5,0.108465228909328
36,3,-0.0294117647058824,-0.7
37,1,0.845154254728516,0.787838597158335
37,2,0.25,0.753410574956818
37,3,-0.218217890235992,0.977802414077409
38,1,-0.707106781186547,0.5
38,2,0.666666666666667,0
38,3,-0.666666666666667,-0.121566134770966
39,1,-0.218217890235992,0.132453235706504
39,2,NaN,0.968245836551854
39,3,NaN,NaN
40,1,0.372677996249965,0.416654710493213
40,2,-0.133630620956212,1
40,3,-0.612372435695794,1
42,1,0.408248290463863,-0.5
42,2,-0.645497224367903,-0.25
42,3,NaN,NaN
43,1,-0.25,0.943879807448539
