,"subj","ses","Performance","Time (sec)","Signal Drop"
0,1,1,2,494,1
1,1,3,3,208,1
2,2,1,0,347,1
3,2,2,11,628,1
4,2,3,10,552,0
5,3,1,6,271,0
6,3,2,7,294,0
7,3,3,7,262,0
8,4,2,5,690,1
9,5,1,8,550,0
10,5,2,4,303,0
11,5,3,7,303,0
12,6,2,3,428,0
13,6,3,11,351,0
14,7,1,1,391,0
15,7,2,0,546,1
16,7,3,0,560,0
17,9,1,8,521,1
18,9,2,5,450,0
19,9,3,2,285,1
20,10,1,2,374,0
21,10,2,8,287,0
22,10,3,8,253,0
23,11,1,1,186,0
24,11,2,4,230,1
25,11,3,7,199,0
26,12,1,7,414,1
27,12,2,10,269,1
28,12,3,9,187,0
29,13,2,0,498,1
30,13,3,0,684,1
31,14,1,6,542,1
32,14,2,9,542,0
33,14,3,10,406,0
34,15,1,5,704,1
35,15,2,5,310,0
36,15,3,2,184,1
37,16,1,7,527,1
38,16,2,6,421,1
39,16,3,7,223,0
40,17,1,6,652,1
41,17,2,5,576,1
42,17,3,6,498,0
43,18,1,7,593,0
44,18,2,9,226,0
45,18,3,5,243,0
46,19,1,8,674,0
47,19,2,8,560,0
48,19,3,4,253,0
49,20,1,0,254,0
50,20,2,1,417,0
51,20,3,1,211,0
52,21,1,4,689,0
53,21,2,3,266,0
54,21,3,6,340,0
55,22,1,4,756,1
56,22,2,9,687,0
57,22,3,10,345,0
58,23,1,0,366,0
59,23,2,6,344,1
60,23,3,4,700,0
61,24,1,1,455,1
62,24,2,5,348,0
63,24,3,7,356,1
64,25,1,7,435,0
65,25,2,2,207,0
66,25,3,9,234,0
67,26,1,5,363,0
68,26,2,4,157,0
69,26,3,6,274,0
70,27,3,1,0,0
71,28,1,7,424,0
72,28,2,5,305,0
73,28,3,7,274,0
74,29,1,7,510,1
75,29,2,2,349,0
76,29,3,6,303,0
77,30,1,0,280,0
78,30,2,3,420,0
79,30,3,2,527,1
80,31,1,6,275,0
81,31,2,6,265,0
82,31,3,5,210,0
83,32,1,10,747,1
84,32,2,5,273,0
85,32,3,2,274,1
86,33,2,6,0,0
87,33,3,2,0,1
88,34,1,0,411,1
89,34,2,9,387,0
90,34,3,10,209,0
91,35,1,9,1002,1
92,35,2,11,694,0
93,36,1,4,406,1
94,36,2,5,328,0
95,36,3,8,335,0
96,37,1,4,416,0
97,37,2,2,358,0
98,37,3,2,329,0
99,38,1,0,360,1
100,38,2,3,298,1
101,38,3,7,240,0
102,39,2,11,421,0
103,39,3,0,542,1
104,40,2,8,290,1
105,40,3,7,271,0
106,41,1,0,478,0
107,41,3,3,258,0
108,42,1,4,491,0
109,42,3,7,432,0
110,43,1,10,468,0
111,43,2,7,493,1
112,43,3,7,248,0
113,44,1,2,0,1
114,44,3,7,402,0
115,45,1,3,402,0
116,45,3,6,329,0
117,46,1,1,151,0
118,46,2,0,223,0
119,46,3,2,250,0
120,47,1,1,299,1
121,47,2,2,339,0
122,47,3,2,406,0
123,48,1,11,704,1
124,48,2,8,333,0
125,48,3,9,270,0
126,49,1,1,240,0
127,49,2,6,515,0
128,49,3,1,272,1
129,50,2,5,288,0
130,50,3,3,274,0
131,51,1,5,275,0
132,51,2,4,209,0
133,51,3,6,165,0
134,52,1,6,435,0
135,52,2,9,673,0
136,52,3,10,298,0
137,53,1,8,380,0
138,53,2,11,319,0
139,53,3,10,298,0
140,54,2,6,546,1
141,54,3,7,239,0
142,55,1,2,331,0
143,55,3,3,351,0
144,56,1,3,707,0
145,56,3,2,642,1
146,57,1,11,698,0
147,57,2,6,229,0
148,57,3,11,164,0
149,58,1,4,528,0
150,58,2,3,264,0
151,59,1,9,377,1
152,59,3,9,497,1
4,60,1,3,454,1
5,60,2,3,494,1
6,60,3,4,400,0
7,61,1,1,458,1
8,61,2,6,424,1
9,61,3,8,321,1
10,62,1,8,329,1
11,62,2,8,360,1
12,62,3,9,353,0
13,63,2,5,430,0
14,63,3,7,262,1
15,64,2,11,342,1
16,64,3,10,280,1
17,65,2,0,63,1
18,65,3,0,65,1
19,66,2,11,665,1
20,66,3,9,223,0
21,67,1,11,553,1
22,67,2,11,240,0
23,67,3,5,231,0
24,68,1,3,407,0
25,68,2,6,344,1
26,68,3,7,783,0
27,69,1,2,276,1
28,69,2,7,203,0
29,69,3,9,178,0
30,70,1,5,561,0
31,70,2,11,332,1
32,70,3,9,225,0
33,71,1,5,362,1
34,71,2,5,231,1
35,71,3,11,282,0
36,72,1,2,221,1
37,72,2,1,115,1
38,72,3,6,134,0
39,73,1,6,308,0
40,73,2,7,318,0
41,73,3,7,225,0
42,74,1,2,596,0
43,74,2,3,746,1
44,74,3,0,397,0
45,75,1,9,417,0
46,75,2,8,261,0
47,75,3,10,201,0
48,76,1,5,824,1
49,76,2,2,244,1
50,77,1,10,756,1
51,77,2,11,591,0
52,77,3,11,295,1
53,80,2,0,242,1
54,80,3,0,280,1
55,81,1,1,721,1
56,81,2,7,485,0
57,81,3,9,328,0
58,82,1,9,387,1
59,82,2,5,151,0
60,82,3,5,122,0
61,83,1,1,451,1
62,83,2,8,327,1
63,83,3,10,322,0
64,84,1,1,444,0
65,84,2,3,299,1
66,84,3,3,214,1
67,86,1,3,417,1
68,86,2,1,452,1
69,86,3,1,305,0
70,87,1,0,498,1
71,87,2,7,758,1
72,87,3,0,719,0
73,88,1,3,114,1
74,88,2,7,536,1
75,88,3,5,447,0
76,89,1,5,484,1
77,89,2,6,536,1
78,89,3,6,355,1
79,90,1,1,163,1
80,90,2,2,497,0
81,90,3,0,673,0
82,91,1,0,438,1
83,91,2,0,526,1
84,92,1,1,372,1
85,92,2,10,612,0
86,92,3,9,720,1
87,93,1,4,472,1
88,93,2,5,329,1
89,93,3,2,218,0
90,94,3,8,351,1
91,95,1,5,405,0
92,95,2,5,340,0
93,95,3,4,224,1
94,96,1,1,302,1
95,96,2,8,379,1
96,96,3,7,279,0
97,97,1,11,822,1
98,97,2,9,476,1
99,97,3,11,323,0
100,98,1,5,455,1
101,98,2,6,700,1
102,98,3,9,169,1
103,99,2,2,498,1
104,99,3,6,333,0
105,100,1,4,876,0
106,100,2,4,497,1
107,100,3,10,486,1
108,101,1,2,292,1
109,101,2,6,358,1
110,101,3,10,210,1
111,102,1,0,198,1
112,102,3,0,753,0
113,103,1,10,564,1
114,103,2,11,247,1
115,103,3,6,154,0
116,104,1,7,249,1
117,104,2,7,194,0
118,104,3,8,149,0
119,105,1,7,643,1
120,105,2,5,577,1
121,105,3,7,659,0
122,106,1,9,515,1
123,106,2,7,389,0
124,106,3,7,450,0
125,107,1,4,933,1
126,107,2,9,504,1
127,107,3,6,573,0
128,108,1,6,670,0
129,108,2,7,578,1
130,108,3,4,454,1
131,110,1,5,791,1
132,110,2,3,606,0
133,110,3,5,436,0
134,111,1,8,411,0
